metric,variant,n_traces,wilcoxon_p,wilcoxon_stat,levene_p_on_std,levene_stat_on_std,mean_shift,cohens_d_paired,note,wilcoxon_p_holm,levene_p_holm
answer_relevancy_deepeval,C,40,1.0,5.0,0.3343596273955992,0.9435875622246455,0.00015934065934065377,0.012626322750723245,,1.0,0.6687192547911984
answer_relevancy_deepeval,M,40,0.0014737808438751421,0.0,0.03083139188496394,4.836159813500185,-0.02552665400525004,-0.33302603849186635,,0.004421342531625426,0.09249417565489182
answer_relevancy_deepeval,P,40,0.06788915486182899,0.0,0.7815229518891076,0.07744765097176236,-0.0030311355311355287,-0.28465096919274635,,0.13577830972365798,0.7815229518891076
contextual_precision_deepeval,C,40,0.927424500241308,199.0,0.6479679110654324,0.21009445500842386,-0.0013720422908589213,-0.0592727583002358,,1.0,1.0
contextual_precision_deepeval,M,40,0.0021815615385407695,109.0,0.07976303698874504,3.1513958503985213,-0.08992352598256023,-0.4080544907690972,,0.006544684615622309,0.23928911096623512
contextual_precision_deepeval,P,40,0.6732787363156975,198.0,0.7045296083644715,0.14486154622115538,-0.007784273876594581,-0.21201549893284524,,1.0,1.0
contextual_recall_deepeval,C,40,0.357009849322944,89.0,0.4690213977221739,0.52943887826113,0.006268552933994115,0.19621607711187206,,0.714019698645888,1.0
contextual_recall_deepeval,M,40,5.703342379110888e-06,38.0,0.5831916920438027,0.30362820929358736,-0.2109404827198945,-0.9446984129325526,,1.7110027137332665e-05,1.0
contextual_recall_deepeval,P,40,0.47239920501692023,69.0,0.7002520709968053,0.14930541986580326,0.005659550824992007,0.14026246949759616,,0.714019698645888,1.0
contextual_relevancy_deepeval,C,40,0.9458745638355618,347.0,0.3010676189615521,1.0837890619217423,-0.0004724887018969268,-0.0489159986210705,,0.9458745638355618,0.6021352379231042
contextual_relevancy_deepeval,M,23,0.0036646104700631243,37.0,0.023853435684417074,5.478139618207056,-0.11869095247104715,-0.6985342199080465,,0.010993831410189373,0.07156030705325123
contextual_relevancy_deepeval,P,40,0.1868183244302798,264.0,0.597218064398753,0.2815139251383628,0.002120017430091316,0.21983929016022624,,0.3736366488605596,0.6021352379231042
eti_clarity,C,40,,0.0,,,0.0,,,,
eti_clarity,M,40,,0.0,,,0.0,,,,
eti_clarity,P,40,,0.0,,,0.0,,,,
eti_empathy,C,40,,0.0,,,0.0,,,,
eti_empathy,M,40,,0.0,,,0.0,,,,
eti_empathy,P,40,,0.0,,,0.0,,,,
eti_quality_assessment,C,40,,0.0,,,0.0,,,,
eti_quality_assessment,M,40,,0.0,,,0.0,,,,
eti_quality_assessment,P,40,,0.0,,,0.0,,,,
eti_quality_score,C,40,0.5807121621890252,3.5,1.0,0.0,0.0012500000000000011,0.05911534196732677,,1.0,1.0
eti_quality_score,M,40,0.17080240846810701,11.0,0.47576400745949143,0.5135089220417053,-0.0175,-0.19629487631064738,,0.512407225404321,1.0
eti_quality_score,P,40,0.7854947471183542,2.5,0.3367321099945457,0.9343133905529684,-0.0012499999999999983,-0.052114080988979364,,1.0,1.0
eti_relevance,C,40,,0.0,,,0.0,,,,
eti_relevance,M,40,1.0,1.5,,,0.0,0.0,,1.0,
eti_relevance,P,40,,0.0,,,0.0,,,,
eti_variability,C,40,0.6547208460185769,1.0,0.9229177714343713,0.00942308167070378,-2.7755575615628915e-18,-6.128265163612871e-17,,0.6547208460185769,1.0
eti_variability,M,40,0.05585331231373634,18.5,0.23419499967637875,1.437370500035285,-0.13,-0.3140200910678407,,0.16755993694120902,0.7025849990291362
eti_variability,P,40,0.17971249487899976,0.0,0.6157013949614341,0.25398808466783973,-0.015000000000000003,-0.21434180268198585,,0.3594249897579995,1.0
faithfulness_ragas,C,40,0.7778686328168113,281.0,0.3670883414956547,0.823035756714277,-0.011282905982414645,-0.15314462414409033,,0.7778686328168113,1.0
faithfulness_ragas,M,40,6.308294937036861e-07,27.0,0.39249974922782027,0.7393642855684124,-0.14874258260701892,-1.0133288099943465,,1.8924884811110582e-06,1.0
faithfulness_ragas,P,40,0.19677758436521786,222.0,0.5931998901322124,0.28773871236085574,-0.006527947277669951,-0.18018631081482275,,0.3935551687304357,1.0
hallucination_deepeval,C,40,0.5001842570707944,5.0,0.8336956814335109,0.04438103262519618,0.0029600522026992622,0.07648713874551458,,1.0,1.0
hallucination_deepeval,M,40,0.421578895217645,34.0,0.9381581930927494,0.006058372604341021,-0.015154160348283319,-0.0638419626658653,,1.0,1.0
hallucination_deepeval,P,40,0.892738400944348,7.0,0.7124486216018826,0.1368368106844889,-0.0063181340718105414,-0.11282424998406484,,1.0,1.0
